Umbral,Average_Precision,AUC_ROC,F1,Precision,Recall,Balanced_Accuracy,Brier,TN,FP,FN,TP
0.4599999999999999,0.26471725698213616,0.7002153587720172,0.3443161968695414,0.22223450349279336,0.7640218878248974,0.6459531354800395,0.21807197426468858,39339,35183,3105,10053
0.4649999999999999,0.26471725698213616,0.7002153587720172,0.3456562565208319,0.22410372040586246,0.7553579571363429,0.6468008486199682,0.21807197426468858,40111,34411,3219,9939
0.4699999999999999,0.26471725698213616,0.7002153587720172,0.3474151814947879,0.22643903564424964,0.7459340325277398,0.6479998924615028,0.21807197426468858,40992,33530,3343,9815
0.4749999999999999,0.26471725698213616,0.7002153587720172,0.3495219058937929,0.22902654867256636,0.7375740994072048,0.649590034057216,0.21807197426468858,41852,32670,3453,9705
0.4799999999999999,0.26471725698213616,0.7002153587720172,0.3506774075430245,0.23098258646471467,0.7278461772305822,0.6499929740182593,0.21807197426468858,42637,31885,3581,9577
0.48499999999999993,0.26471725698213616,0.7002153587720172,0.35163975641097267,0.2328868497002886,0.7175102599179206,0.6501053352674597,0.21807197426468858,43424,31098,3717,9441
0.48999999999999994,0.26471725698213616,0.7002153587720172,0.35243009447205675,0.23483163110526847,0.7059583523331814,0.6499049162165088,0.21807197426468858,44255,30267,3869,9289
0.49499999999999994,0.26471725698213616,0.7002153587720172,0.35368518769218865,0.23720459674699731,0.6949384404924761,0.6501784873083136,0.21807197426468858,45117,29405,4014,9144
0.49999999999999994,0.26471725698213616,0.7002153587720172,0.35457915910704424,0.23941411451398137,0.683234534123727,0.6499960008585947,0.21807197426468858,45962,28560,4168,8990
0.5049999999999999,0.26471725698213616,0.7002153587720172,0.355217330031608,0.24161257634267247,0.6704666362669098,0.649442544938962,0.21807197426468858,46831,27691,4336,8822
0.5099999999999999,0.26471725698213616,0.7002153587720172,0.3563079072251782,0.24415101776513978,0.6590667274661802,0.6494053478451645,0.21807197426468858,47675,26847,4486,8672
0.5149999999999999,0.26471725698213616,0.7002153587720172,0.3562184045476475,0.24600898160220194,0.6453108375132999,0.6480492621854361,0.21807197426468858,48498,26024,4667,8491
0.5199999999999999,0.26471725698213616,0.7002153587720172,0.35770789118271273,0.24912657887664608,0.63406292749658,0.6483161850386472,0.21807197426468858,49376,25146,4815,8343
0.5249999999999999,0.26471725698213616,0.7002153587720172,0.3573804937839258,0.2509683369197664,0.6204590363277094,0.6467475933631247,0.21807197426468858,50156,24366,4994,8164
0.5299999999999999,0.26471725698213616,0.7002153587720172,0.3570214669051878,0.25293073949686334,0.606703146374829,0.6451499682922157,0.21807197426468858,50943,23579,5175,7983
0.5349999999999999,0.26471725698213616,0.7002153587720172,0.3568053685147566,0.2549831990343523,0.5940112479100167,0.6437824147013651,0.21807197426468858,51685,22837,5342,7816
0.5399999999999999,0.26471725698213616,0.7002153587720172,0.35714452187288787,0.2575548757941443,0.5823073415412676,0.6429625325832529,0.21807197426468858,52435,22087,5496,7662
0.5449999999999999,0.26471725698213616,0.7002153587720172,0.35617220781075226,0.25927722532136793,0.568703450372397,0.6409175715134576,0.21807197426468858,53144,21378,5675,7483
0.5499999999999999,0.26471725698213616,0.7002153587720172,0.35532179121922713,0.26142104697409435,0.5544915640674875,0.6389443408485904,0.21807197426468858,53909,20613,5862,7296
0.5549999999999999,0.26471725698213616,0.7002153587720172,0.3535031847133758,0.2627802027077014,0.5398996808025536,0.6362309386004663,0.21807197426468858,54592,19930,6054,7104
0.5599999999999999,0.26471725698213616,0.7002153587720172,0.3517462580185317,0.2644492076858302,0.5250797993616051,0.6336048201069855,0.21807197426468858,55305,19217,6249,6909
0.565,0.26471725698213616,0.7002153587720172,0.350916417522423,0.2666851068874225,0.5129198966408268,0.6319463818568187,0.21807197426468858,55964,18558,6409,6749
0.57,0.26471725698213616,0.7002153587720172,0.3489922149941346,0.26878850102669405,0.4974160206718346,0.6292466432228501,0.21807197426468858,56717,17805,6613,6545
0.575,0.26471725698213616,0.7002153587720172,0.34646056368800526,0.2703981584107767,0.4820641434868521,0.6262002100113201,0.21807197426468858,57407,17115,6815,6343
0.58,0.26471725698213616,0.7002153587720172,0.3439854362134155,0.272364394376192,0.46671226630186957,0.6232812559334688,0.21807197426468858,58116,16406,7017,6141
0.585,0.26471725698213616,0.7002153587720172,0.34197693763983705,0.27464983413195726,0.4530323757409941,0.620889661475607,0.21807197426468858,58779,15743,7197,5961
0.59,0.26471725698213616,0.7002153587720172,0.3386290085319211,0.27625768049155147,0.4373765009879921,0.6175302032059469,0.21807197426468858,59445,15077,7403,5755
0.595,0.26471725698213616,0.7002153587720172,0.3362521891418564,0.27895791583166335,0.42316461468308253,0.6150202182940117,0.21807197426468858,60130,14392,7590,5568
0.6,0.26471725698213616,0.7002153587720172,0.3321362229102167,0.28022150245533384,0.4076607387140903,0.6113878691557623,0.21807197426468858,60744,13778,7794,5364
0.605,0.26471725698213616,0.7002153587720172,0.3294207462544136,0.28327589036599377,0.39352485180118557,0.6088622085151227,0.21807197426468858,61421,13101,7980,5178
0.61,0.26471725698213616,0.7002153587720172,0.32446026717183263,0.2844951028123031,0.3774889800881593,0.6049303143644146,0.21807197426468858,62030,12492,8191,4967
0.615,0.26471725698213616,0.7002153587720172,0.31832538135877964,0.28529270055408334,0.3600091199270406,0.6003837768390738,0.21807197426468858,62655,11867,8421,4737
0.62,0.26471725698213616,0.7002153587720172,0.313741750457828,0.28765127035417853,0.3450372397020824,0.597084519853725,0.21807197426468858,63279,11243,8618,4540
0.625,0.26471725698213616,0.7002153587720172,0.3085567963582047,0.28997326203208557,0.32968536251709984,0.5935751361040988,0.21807197426468858,63900,10622,8820,4338
0.63,0.26471725698213616,0.7002153587720172,0.3029792840934046,0.292219711945778,0.31456148350813196,0.5900187251683597,0.21807197426468858,64497,10025,9019,4139
