Umbral,F1,AUC_ROC,Average_Precision,Precision,Recall,Especificidad,Balanced_Accuracy,Brier,TN,FP,FN,TP
0.29,0.2858407569302274,0.6915895017167712,0.2565553953059525,0.16727757845791186,0.981532147742818,0.13727489868763587,0.559403523215227,0.22694498129081228,10230,64292,243,12915
0.295,0.2865171659280486,0.6915895017167712,0.2565553953059525,0.1677788617886179,0.9802401580787353,0.14150183838329622,0.5608709982310158,0.22694498129081228,10545,63977,260,12898
0.3,0.2871001193091221,0.6915895017167712,0.2565553953059525,0.16823260372427312,0.9784161726706186,0.14587638549690024,0.5621462790837595,0.22694498129081228,10871,63651,284,12874
0.30499999999999994,0.2877899167189039,0.6915895017167712,0.2565553953059525,0.1687495077318911,0.9769721842225262,0.1502777703228577,0.5636249772726919,0.22694498129081228,11199,63323,303,12855
0.30999999999999994,0.2886243297022023,0.6915895017167712,0.2565553953059525,0.16936473382149217,0.9756041951664387,0.155175652827353,0.5653899239968958,0.22694498129081228,11564,62958,321,12837
0.31499999999999995,0.28905923659640764,0.6915895017167712,0.2565553953059525,0.16974502446333153,0.9729442164462684,0.1597514827836075,0.5663478496149379,0.22694498129081228,11905,62617,356,12802
0.31999999999999995,0.28987479586281983,0.6915895017167712,0.2565553953059525,0.17035911381268495,0.9712722298221614,0.16483722927457664,0.568054729548369,0.22694498129081228,12284,62238,378,12780
0.32499999999999996,0.29049604666529955,0.6915895017167712,0.2565553953059525,0.17086147743111396,0.9689162486700107,0.16981562491613214,0.5693659367930715,0.22694498129081228,12655,61867,409,12749
0.32999999999999996,0.2911437380371122,0.6915895017167712,0.2565553953059525,0.17142432954069994,0.9652682778537772,0.1762164193124178,0.5707423485830975,0.22694498129081228,13132,61390,457,12701
0.33499999999999996,0.29179149191132414,0.6915895017167712,0.2565553953059525,0.17196794784734484,0.9623043015655874,0.181879176618985,0.5720917390922862,0.22694498129081228,13554,60968,496,12662
0.33999999999999997,0.29290410863590505,0.6915895017167712,0.2565553953059525,0.17282244269586042,0.959796321629427,0.18888381954322214,0.5743400705863245,0.22694498129081228,14076,60446,529,12629
0.3449999999999999,0.29432578562002965,0.6915895017167712,0.2565553953059525,0.1738806484994826,0.9577443380452957,0.19657282413247096,0.5771585810888833,0.22694498129081228,14649,59873,556,12602
0.3499999999999999,0.2956793826681253,0.6915895017167712,0.2565553953059525,0.1749126689212698,0.9551603587171302,0.20446311156437025,0.5798117351407502,0.22694498129081228,15237,59285,590,12568
0.3549999999999999,0.29683629079098656,0.6915895017167712,0.2565553953059525,0.1758443929499333,0.9515883872929016,0.21252784412656664,0.5820581157097341,0.22694498129081228,15838,58684,637,12521
0.35999999999999993,0.2979063716011363,0.6915895017167712,0.2565553953059525,0.17670631549136223,0.9483964128286974,0.21981428303051448,0.5841053479296059,0.22694498129081228,16381,58141,679,12479
0.36499999999999994,0.29907868465997933,0.6915895017167712,0.2565553953059525,0.17765489254686787,0.9449004407964736,0.22773140817476717,0.5863159244856204,0.22694498129081228,16971,57551,725,12433
0.36999999999999994,0.3001005585238493,0.6915895017167712,0.2565553953059525,0.1785070840720082,0.9412524699802401,0.2351788733528354,0.5882156716665378,0.22694498129081228,17526,56996,773,12385
0.37499999999999994,0.3010957366327452,0.6915895017167712,0.2565553953059525,0.17934182219896505,0.9376804985560115,0.24239821797589972,0.5900393582659557,0.22694498129081228,18064,56458,820,12338
0.37999999999999995,0.30222265932336745,0.6915895017167712,0.2565553953059525,0.18027161000791952,0.9341845265237878,0.24996645285955826,0.592075489691673,0.22694498129081228,18628,55894,866,12292
0.38499999999999995,0.3032435513046064,0.6915895017167712,0.2565553953059525,0.1811534134643851,0.9300805593555251,0.25769571401733715,0.5938881366864311,0.22694498129081228,19204,55318,920,12238
0.38999999999999996,0.30439780109945025,0.6915895017167712,0.2565553953059525,0.18214168236595796,0.9258245934032527,0.26598856713453745,0.5959065802688951,0.22694498129081228,19822,54700,976,12182
0.39499999999999996,0.30565085771947526,0.6915895017167712,0.2565553953059525,0.18323704667130455,0.9208086335309318,0.2753012533211669,0.5980549434260494,0.22694498129081228,20516,54006,1042,12116
0.3999999999999999,0.3066544473295657,0.6915895017167712,0.2565553953059525,0.1841727058679632,0.9154886760905913,0.2839698344113148,0.599729255250953,0.22694498129081228,21162,53360,1112,12046
0.4049999999999999,0.30790974970447654,0.6915895017167712,0.2565553953059525,0.18527910932426164,0.9106247150022799,0.29298730576205684,0.6018060103821684,0.22694498129081228,21834,52688,1176,11982
0.4099999999999999,0.30899940332581005,0.6915895017167712,0.2565553953059525,0.18629567067067068,0.9052287581699346,0.3018840074072086,0.6035563827885716,0.22694498129081228,22497,52025,1247,11911
0.4149999999999999,0.3104699762849993,0.6915895017167712,0.2565553953059525,0.18757223145729437,0.9004407964736282,0.31138455758031186,0.60591267702697,0.22694498129081228,23205,51317,1310,11848
0.41999999999999993,0.3120235069885642,0.6915895017167712,0.2565553953059525,0.1889123954226368,0.8958048335613316,0.3209119454657685,0.60835838951355,0.22694498129081228,23915,50607,1371,11787
0.42499999999999993,0.3137039811643836,0.6915895017167712,0.2565553953059525,0.19035945059583725,0.89109287125703,0.3308150613241727,0.6109539662906014,0.22694498129081228,24653,49869,1433,11725
