Fecha_Acc,Anio,Mes,Dia_Num,Dia_Semana,Es_Festivo,Nombre_Festivo,Siniestros
2018-09-25,2018,9,1,Martes,False,,40
2018-09-26,2018,9,2,Miércoles,False,,40
2018-09-27,2018,9,3,Jueves,False,,41
2018-09-28,2018,9,4,Viernes,False,,41
2018-09-29,2018,9,5,Sábado,False,,43
2018-09-30,2018,9,6,Domingo,False,,18
2018-10-01,2018,10,0,Lunes,False,,46
2018-10-02,2018,10,1,Martes,False,,43
2018-10-03,2018,10,2,Miércoles,False,,35
2018-10-04,2018,10,3,Jueves,False,,39
2018-10-05,2018,10,4,Viernes,False,,36
2018-10-06,2018,10,5,Sábado,False,,39
2018-10-07,2018,10,6,Domingo,False,,17
2018-10-08,2018,10,0,Lunes,False,,42
2018-10-09,2018,10,1,Martes,False,,40
2018-10-10,2018,10,2,Miércoles,False,,35
2018-10-11,2018,10,3,Jueves,False,,32
2018-10-12,2018,10,4,Viernes,False,,37
2018-10-13,2018,10,5,Sábado,False,,40
2018-10-14,2018,10,6,Domingo,False,,26
2018-10-15,2018,10,0,Lunes,True,Día de la Raza (observado),23
2018-10-16,2018,10,1,Martes,False,,44
2018-10-17,2018,10,2,Miércoles,False,,53
2018-10-18,2018,10,3,Jueves,False,,29
2018-10-19,2018,10,4,Viernes,False,,46
2018-10-20,2018,10,5,Sábado,False,,54
2018-10-21,2018,10,6,Domingo,False,,30
2018-10-22,2018,10,0,Lunes,False,,37
2018-10-23,2018,10,1,Martes,False,,34
2018-10-24,2018,10,2,Miércoles,False,,34
2018-10-25,2018,10,3,Jueves,False,,23
2018-10-26,2018,10,4,Viernes,False,,33
2018-10-27,2018,10,5,Sábado,False,,44
2018-10-28,2018,10,6,Domingo,False,,23
2018-10-29,2018,10,0,Lunes,False,,50
2018-10-30,2018,10,1,Martes,False,,37
2018-10-31,2018,10,2,Miércoles,False,,44
2018-11-01,2018,11,3,Jueves,False,,40
2018-11-02,2018,11,4,Viernes,False,,35
2018-11-03,2018,11,5,Sábado,False,,49
2018-11-04,2018,11,6,Domingo,False,,24
2018-11-05,2018,11,0,Lunes,True,Día de Todos los Santos (observado),24
2018-11-06,2018,11,1,Martes,False,,40
2018-11-07,2018,11,2,Miércoles,False,,39
2018-11-08,2018,11,3,Jueves,False,,45
2018-11-09,2018,11,4,Viernes,False,,34
2018-11-10,2018,11,5,Sábado,False,,43
2018-11-11,2018,11,6,Domingo,False,,35
2018-11-12,2018,11,0,Lunes,True,Independencia de Cartagena (observado),26
2018-11-13,2018,11,1,Martes,False,,44
2018-11-14,2018,11,2,Miércoles,False,,40
2018-11-15,2018,11,3,Jueves,False,,38
2018-11-16,2018,11,4,Viernes,False,,37
2018-11-17,2018,11,5,Sábado,False,,47
2018-11-18,2018,11,6,Domingo,False,,33
2018-11-19,2018,11,0,Lunes,False,,42
2018-11-20,2018,11,1,Martes,False,,41
2018-11-21,2018,11,2,Miércoles,False,,35
2018-11-22,2018,11,3,Jueves,False,,33
2018-11-23,2018,11,4,Viernes,False,,42
2018-11-24,2018,11,5,Sábado,False,,32
2018-11-25,2018,11,6,Domingo,False,,37
2018-11-26,2018,11,0,Lunes,False,,42
2018-11-27,2018,11,1,Martes,False,,38
2018-11-28,2018,11,2,Miércoles,False,,40
2018-11-29,2018,11,3,Jueves,False,,38
2018-11-30,2018,11,4,Viernes,False,,34
2018-12-01,2018,12,5,Sábado,False,,46
2018-12-02,2018,12,6,Domingo,False,,35
2018-12-03,2018,12,0,Lunes,False,,42
2018-12-04,2018,12,1,Martes,False,,46
2018-12-05,2018,12,2,Miércoles,False,,39
2018-12-06,2018,12,3,Jueves,False,,47
2018-12-07,2018,12,4,Viernes,False,,44
2018-12-08,2018,12,5,Sábado,True,La Inmaculada Concepción,33
2018-12-09,2018,12,6,Domingo,False,,25
2018-12-10,2018,12,0,Lunes,False,,41
2018-12-11,2018,12,1,Martes,False,,30
2018-12-12,2018,12,2,Miércoles,False,,39
2018-12-13,2018,12,3,Jueves,False,,42
2018-12-14,2018,12,4,Viernes,False,,48
2018-12-15,2018,12,5,Sábado,False,,40
2018-12-16,2018,12,6,Domingo,False,,28
2018-12-17,2018,12,0,Lunes,False,,45
2018-12-18,2018,12,1,Martes,False,,37
2018-12-19,2018,12,2,Miércoles,False,,36
2018-12-20,2018,12,3,Jueves,False,,43
2018-12-21,2018,12,4,Viernes,False,,30
2018-12-22,2018,12,5,Sábado,False,,32
2018-12-23,2018,12,6,Domingo,False,,27
2018-12-24,2018,12,0,Lunes,False,,46
2018-12-25,2018,12,1,Martes,True,Navidad,26
2018-12-26,2018,12,2,Miércoles,False,,26
2018-12-27,2018,12,3,Jueves,False,,30
2018-12-28,2018,12,4,Viernes,False,,28
2018-12-29,2018,12,5,Sábado,False,,30
