Repeticion,Average_Precision,AUC_ROC,Brier
89,4.584942956981086e-05,-0.001463582600069624,0.07852034381272402
90,-7.003654624299083e-05,0.0005235341509002289,0.07910299685041744
91,-0.0006586968254719827,0.0013115595894238607,0.07811019547915041
92,0.002152604516191592,0.0005712531236531371,0.07625928406977828
93,0.00010408911741466298,-0.00015545714584230819,0.07955371093992764
94,0.0032217062182684497,-0.0002246636289285897,0.07787706612505119
95,0.00361207562663457,0.000439844961102831,0.07770236273947478
96,0.0016210196765806817,-0.0006375461440345509,0.07917145249291302
97,0.0012832790315497333,0.0015242216482955762,0.07617358253588016
98,0.004485495080306545,0.0019150724916271455,0.07880154801808295
99,-0.0030942963794595713,-0.0018868858774473418,0.07882435048329064
100,-0.0030325123628207606,-0.001140182848581639,0.07943450783203976
101,-0.0022002085997528398,-0.001968274843336948,0.07916931261921609
102,0.0005146434598317096,-0.002068029319357234,0.07797815616180229
103,0.004553663152379428,0.0025869302317784726,0.07786746427076585
104,0.0005143237942576429,0.0013836300896427067,0.07746137571534437
105,-0.002552460934009626,-0.00225454383009982,0.07927886886400837
106,0.001932278489683914,0.000522917821483837,0.07828163290233228
107,0.002803844895856167,0.000776584883701914,0.07895846573118237
108,0.0009290118256939373,0.0008432147302483983,0.07773939992750051
109,0.0002860699106855269,0.00018892024365169124,0.07679377868375006
110,0.001669525394630944,0.0012029942807950667,0.07843210773663659
111,-0.0024542012975512506,-0.0007704677155839779,0.07833772766580055
112,-0.0006277108620922345,0.00017072553117436495,0.07592125216132081
113,-0.001026167696165703,-0.0016481916891558646,0.07781884363925715
114,-0.00013718799505413326,0.0017488385532192785,0.07632755356142365
115,0.001377920499204932,-0.00023578660301726284,0.07793190633786592
116,0.0005463082600311031,0.0004401328513794489,0.07806438730367901
117,0.0024409043567886757,-0.002084728005422254,0.07924489185626468
118,-0.001977289753695599,-0.0012089434184645587,0.0782100019972895
119,0.0006103391042244222,9.4938578415249e-05,0.07829246969508766
120,-0.0027370766641198196,-0.00028485696178681685,0.07703424734710562
121,-0.003259560922374505,-0.001717751867181927,0.0781206035917307
122,0.003127950532096857,0.0019497964194823414,0.07823066144356383
123,-0.002505401734153756,-0.0020255971463361,0.07870555199377119
124,0.0018281927019364042,0.0019484820427856375,0.07540876311373956
125,0.00021879810236624664,-0.00035091999415559627,0.07858496417739863
126,0.003269090421212595,0.0025937205131988383,0.078431097125744
127,0.003148689035154195,-0.0003067201207622716,0.07572172014171372
128,0.0021762074695932943,-0.0005089294113671539,0.07766210845944418
129,0.000600025263190751,-0.00028269995382324,0.07818800019721078
130,-0.0015449883916810458,-0.001605984041408437,0.07791053341961351
131,0.0006384414368297286,8.543484560075143e-05,0.07784381630003376
132,-0.0004747744273362331,-0.0008061007638117124,0.07657463517731006
133,0.006114375003409944,0.002064011455411907,0.07766624587113266
134,0.0011179713452411089,0.0013563978276870392,0.07955454551810226
135,0.0015778367196787602,-0.00046271000970832254,0.07827091754660814
136,0.0013696115445214763,-0.0006650734744531039,0.07865021667172742
137,-0.0021187844204592077,-0.0013902297730556956,0.07912574683634432
138,0.0005507201413331719,-0.0008211481650017838,0.07881226471750177
139,0.0038366366669840835,0.0020493777399782642,0.07907422200598771
140,0.003338417968680396,0.001828931513375598,0.07697654077893809
141,0.0013727689795073883,0.0005920360749609443,0.07966860616987403
142,0.00284459364212597,0.0013223645398670048,0.07910776771391373
143,0.0022269724983382533,0.00043001665612929507,0.07801502009743516
144,0.003090372168468525,0.0009981597439082668,0.0790175526557115
145,0.0007003769878796695,-0.0014863459022059766,0.07896731824231196
146,0.0002313421598851284,-0.0005332379385181163,0.07466921431453688
147,-0.0017550677804745174,-0.0017500753016774784,0.07833837106050823
148,0.0002881914185750567,-0.0002817235697528675,0.07677120385180691
149,-0.0012249249764465509,-0.00039394767795097874,0.07936747117081255
150,0.001843137267662498,-0.00012804522496201454,0.07790767987596592
151,-0.0015820248174376883,-0.0014188314462729723,0.07831150777876289
152,0.005629453751926472,0.0007735515160853801,0.07915923778953726
153,0.0028611212871844094,0.0008573325764058559,0.07871566453481776
154,0.0021624121668216145,0.0020313139844160277,0.07839419140320919
155,-0.0008077217764452249,-0.0008070817501374394,0.07798286200578955
156,0.004249442787147506,0.0029085062776721404,0.07685067100865647
157,-0.00151206567164347,0.001024299580396404,0.08045002244555866
