Localidad,Franja_Horaria,Dia_Semana,Tasa,Observaciones_Train
ENGATIVÁ,Mañana,Saturday,0.2222222222222222,261
ENGATIVÁ,Mañana,Sunday,0.13846153846153847,260
ENGATIVÁ,Mañana,Thursday,0.28735632183908044,261
ENGATIVÁ,Mañana,Tuesday,0.3448275862068966,261
ENGATIVÁ,Mañana,Wednesday,0.28735632183908044,261
ENGATIVÁ,Noche,Friday,0.29118773946360155,261
ENGATIVÁ,Noche,Monday,0.1839080459770115,261
ENGATIVÁ,Noche,Saturday,0.2567049808429119,261
ENGATIVÁ,Noche,Sunday,0.1076923076923077,260
ENGATIVÁ,Noche,Thursday,0.22988505747126436,261
ENGATIVÁ,Noche,Tuesday,0.20306513409961685,261
ENGATIVÁ,Noche,Wednesday,0.2222222222222222,261
ENGATIVÁ,Tarde,Friday,0.24904214559386972,261
ENGATIVÁ,Tarde,Monday,0.23371647509578544,261
ENGATIVÁ,Tarde,Saturday,0.2796934865900383,261
ENGATIVÁ,Tarde,Sunday,0.1346153846153846,260
ENGATIVÁ,Tarde,Thursday,0.23754789272030652,261
ENGATIVÁ,Tarde,Tuesday,0.25287356321839083,261
ENGATIVÁ,Tarde,Wednesday,0.2222222222222222,261
FONTIBÓN,Madrugada,Friday,0.21839080459770116,261
FONTIBÓN,Madrugada,Monday,0.1839080459770115,261
FONTIBÓN,Madrugada,Saturday,0.31417624521072796,261
FONTIBÓN,Madrugada,Sunday,0.23461538461538461,260
FONTIBÓN,Madrugada,Thursday,0.19923371647509577,261
FONTIBÓN,Madrugada,Tuesday,0.12260536398467432,261
FONTIBÓN,Madrugada,Wednesday,0.1839080459770115,261
FONTIBÓN,Mañana,Friday,0.1839080459770115,261
FONTIBÓN,Mañana,Monday,0.1685823754789272,261
FONTIBÓN,Mañana,Saturday,0.14559386973180077,261
FONTIBÓN,Mañana,Sunday,0.038461538461538464,260
FONTIBÓN,Mañana,Thursday,0.19540229885057472,261
FONTIBÓN,Mañana,Tuesday,0.210727969348659,261
FONTIBÓN,Mañana,Wednesday,0.1724137931034483,261
FONTIBÓN,Noche,Friday,0.14559386973180077,261
FONTIBÓN,Noche,Monday,0.09961685823754789,261
FONTIBÓN,Noche,Saturday,0.13026819923371646,261
FONTIBÓN,Noche,Sunday,0.03076923076923077,260
FONTIBÓN,Noche,Thursday,0.07279693486590039,261
FONTIBÓN,Noche,Tuesday,0.08045977011494253,261
FONTIBÓN,Noche,Wednesday,0.1111111111111111,261
FONTIBÓN,Tarde,Friday,0.14559386973180077,261
FONTIBÓN,Tarde,Monday,0.1685823754789272,261
FONTIBÓN,Tarde,Saturday,0.1417624521072797,261
FONTIBÓN,Tarde,Sunday,0.06538461538461539,260
FONTIBÓN,Tarde,Thursday,0.11494252873563218,261
FONTIBÓN,Tarde,Tuesday,0.210727969348659,261
FONTIBÓN,Tarde,Wednesday,0.14559386973180077,261
KENNEDY,Madrugada,Friday,0.1417624521072797,261
KENNEDY,Madrugada,Monday,0.0842911877394636,261
KENNEDY,Madrugada,Saturday,0.16091954022988506,261
